value,label
All,G000
Geometric,G001
Cubic,G002
Curvy,G003
Cute,G004
Squiggly,G005
Simple,G006
Sharp,G007
Clean line,G008
Realistic,G009
Mini,G010
Round,G011
Rectangle,G012
Rough,G013
Comic,G014
Stripe,G015
