value,label
All,T000
Vibrant,T001
Bold,T002
Soft,T003
Bright,T004
Pastel,T005
Dark,T006
Light,T007
Colorful,T008
Earthy,T009
Neon,T010
Subtle,T011
Shimmering,T012
Matte,T013
Glossy,T014
Translucent,T015
Monochrome,T016
Contrasting,T017
Warm,T018
Cool,T019
True tone,
Humor,
