value,label
Ancient (BC),TC001
Medival (300s-1500s),TC002
Renaissance (1300s-1500s),TC003
Early Modern (1600s-1700s),TC004
Bright Age (1700s - 1800s),TC005
Industrial Revolution (1800s - 1900s),TC006
World War (1900s - 1950s),TC007
Cold War (1950s - 1990s),TC008
Digital Age (2000s),TC009
Present (2010s),TC010
