value,label
All,C000
Pattern,C001
Symmetrical,C002
Asymmetrical,C003
Grid,C004
Minimal,C005
Simple,C006
Contrastive,C007
Balanced,C008
Rhythmic,C009
Organic,C010
Cinematic,C011
Layered,C012
Maximal,C013
Dynamic,C014
Chaotic,C015
