value,label
Pop Art,VS001
Isometric,VS002
Surrealism,VS003
Abstract,VS004
Minimalism,VS005
Memphis,VS006
Pointillism,VS007
Art Nouveau,VS008
Bauhaus,VS009
Psychedelic,VS010
Punk,VS011
Retro,VS012
